tenure_months,monthly_charges,total_charges,support_calls,contract_length_months,churned
39,55.44,2336.59,2,1,0
49,116.69,5805.36,9,12,0
60,114.04,6739.48,5,1,0
70,29.58,2259.17,7,1,0
48,43.97,2281.78,0,24,0
48,82.47,3802.57,0,1,0
5,25.22,129.44,5,12,1
11,119.05,1306.62,3,24,1
56,51.7,2910.18,0,24,0
13,49.56,589.76,1,12,0
3,39.09,113.82,10,24,1
11,47.73,480.4,9,1,1
68,84.44,5481.14,6,12,0
15,77.51,1081.38,2,24,1
62,105.1,6517.1,9,12,0
19,93.62,1852.75,0,24,1
65,81.76,5414.19,0,1,1
39,46.85,1812.83,9,24,1
34,21.65,733.01,3,1,0
58,83.24,5228.57,4,12,0
22,107.81,2564.22,8,1,1
21,27.76,625.21,8,1,1
61,48.08,3187.79,9,24,1
32,24.76,761.73,9,24,0
72,20.23,1558.61,3,1,0
19,113.59,2309.74,9,24,1
44,55.21,2401.06,6,12,0
35,44.08,1583.77,8,12,1
9,102.78,959.29,5,12,1
5,113.88,618.57,1,24,1
29,97.04,2775.75,6,24,1
12,37.87,478.46,10,24,1
14,67.15,924.12,8,12,1
29,48.76,1352.26,10,1,1
71,56.95,4129.35,0,1,0
50,52.53,2750.4,0,1,0
51,99.33,5482.57,3,24,1
14,32.75,494.96,3,12,1
57,88.06,4537.99,1,12,1
20,83.31,1797.33,10,1,1
65,96.74,6515.9,2,12,1
70,41.8,3118.06,1,12,0
70,65.5,4494.44,9,12,0
22,30.36,697.84,1,12,0
40,35.44,1532.31,6,1,1
59,116.23,6582.51,2,24,1
54,74.43,3952.95,2,24,0
7,57.11,406.77,0,12,0
24,28.83,649.2,6,1,1
46,67.81,3314.17,3,24,0
19,25.59,485.43,7,24,0
20,22.51,491.46,3,24,1
22,23.56,493.59,5,12,1
27,109.14,2957.85,7,24,1
57,94.37,5123.9,3,12,0
22,45.9,975.59,2,24,1
70,100.06,6466.17,7,1,1
60,114.55,6592.32,7,12,1
57,113.97,7045.76,5,24,0
30,44.93,1321.38,10,24,1
69,60.42,3926.39,2,1,1
25,99.39,2711.66,2,1,1
63,51.93,3031.49,2,12,0
19,76.24,1318.92,8,24,1
70,110.3,6958.35,3,24,1
39,113.47,4541.77,2,24,0
55,35.72,2088.53,4,12,1
55,31.43,1676.92,10,12,0
43,53.96,2387.23,3,24,0
52,98.42,5055.2,4,24,1
45,71.83,2984.74,0,24,1
32,36.84,1076.63,9,12,0
71,39.8,2694.53,7,24,1
45,39.91,1734.0,9,12,1
59,87.03,5141.3,10,1,1
39,114.94,4632.86,3,12,1
34,103.97,3380.78,2,1,1
9,41.56,367.8,10,24,1
26,56.73,1598.81,2,12,1
66,37.0,2406.1,1,1,0
28,94.31,2825.39,1,24,1
47,37.75,1798.47,2,12,0
70,76.78,5629.68,5,12,1
68,89.44,6218.59,8,12,0
8,61.76,518.93,4,24,1
66,54.22,3756.06,8,24,1
22,117.67,2679.43,3,12,1
21,116.36,2513.52,7,24,1
47,110.34,4888.87,2,12,0
71,82.39,5896.8,2,24,1
50,76.91,3784.35,4,1,0
21,85.27,1734.45,10,24,0
3,114.84,311.18,2,1,1
19,102.4,1797.98,9,12,1
72,34.93,2696.08,7,12,0
8,93.0,676.14,6,24,1
64,105.43,6804.42,0,24,0
37,46.1,1711.57,1,24,0
12,82.99,901.6,6,12,1
5,35.15,176.04,3,12,1
35,53.66,1811.88,3,24,0
67,22.12,1406.06,9,1,0
69,105.05,6634.77,0,1,1
4,65.08,234.92,1,24,1
16,42.11,625.13,2,12,0
6,35.77,202.1,0,1,1
17,69.29,1168.15,7,1,1
35,85.67,3282.7,2,12,0
55,87.53,4936.31,0,24,0
55,62.56,3733.94,2,12,0
12,59.45,728.02,0,24,1
19,96.22,1768.77,5,24,1
18,87.02,1530.74,8,12,1
62,83.63,4994.86,9,24,0
66,22.85,1558.73,8,24,1
16,55.14,887.48,6,24,0
39,73.12,2576.3,7,12,0
48,77.94,3503.49,1,24,0
21,54.44,1231.54,6,12,0
25,70.98,1781.0,9,24,1
3,25.88,81.35,2,12,1
17,77.49,1270.75,4,12,1
41,72.91,2694.68,4,24,0
59,60.64,3402.21,10,1,0
27,111.16,2942.76,1,12,1
69,47.32,3369.08,5,12,1
4,78.01,282.81,6,12,1
21,50.83,985.22,5,24,1
62,114.51,6551.96,7,12,1
9,86.47,772.83,4,24,1
5,109.62,508.99,4,12,1
53,68.77,3433.41,9,12,1
53,101.37,5864.56,6,12,1
46,119.02,5747.83,8,12,0
20,93.65,1856.46,1,12,1
16,39.42,629.12,3,24,1
35,55.58,1753.83,10,12,1
70,24.67,1626.01,3,12,1
22,89.68,1783.11,2,1,1
10,30.45,302.7,6,1,0
3,26.51,75.06,0,24,0
33,54.62,1757.74,2,12,0
56,57.08,3271.4,6,24,0
21,91.07,2056.98,1,12,1
51,82.78,4608.5,5,1,0
41,20.9,932.65,3,1,0
20,30.18,604.73,2,12,1
38,49.08,1992.1,8,24,1
8,83.74,711.87,7,24,1
59,88.96,5149.37,10,1,1
12,57.14,744.33,9,24,1
68,38.99,2691.92,5,12,0
18,109.82,1989.69,1,1,1
56,119.09,6277.1,4,1,1
1,60.52,66.4,6,24,1
15,34.42,469.31,1,1,1
41,107.81,4234.63,0,12,1
15,101.36,1513.3,1,1,1
71,86.86,6773.38,1,1,1
58,28.49,1674.5,3,24,0
9,38.74,342.44,3,1,1
8,113.22,949.18,7,12,1
39,113.86,4095.21,4,24,1
35,92.51,3473.78,1,1,1
22,92.76,2072.43,0,24,1
25,23.6,627.03,10,1,0
51,48.63,2453.41,0,1,0
